Designator,Mid X,Mid Y,Rotation,Layer
BT1,198.738986,-93.298104,7.0,bottom
D1,93.161173,-46.754039,90.0,top
D10,155.77206,-72.269583,83.0,top
D11,174.331822,-77.427396,83.0,top
D12,192.891582,-82.58521,83.0,top
D13,93.712073,-89.616537,90.0,top
D14,114.116178,-89.616535,90.0,top
D15,134.194205,-91.692178,83.0,top
D16,153.450454,-91.177592,83.0,top
D17,172.010211,-96.3354,83.0,top
D18,190.569978,-101.493211,83.0,top
D19,91.926139,-108.640681,90.0,top
D2,119.83118,-46.754032,90.0,top
D21,112.211177,-108.666534,90.0,top
D22,131.872593,-110.600185,83.0,top
D23,151.128844,-110.08559,83.0,top
D24,169.688602,-115.243406,83.0,top
D25,188.248361,-120.401218,83.0,top
D26,83.636182,-127.71653,90.0,top
D27,145.747244,-134.375797,83.0,top
D28,189.214242,-139.71287,83.0,top
D29,194.236687,-140.329547,83.0,top
D3,139.417832,-49.149172,83.0,top
D32,193.108321,-120.997947,83.0,top
D4,158.674076,-48.634573,83.0,top
D5,177.233838,-53.792392,83.0,top
D6,195.7936,-58.950198,83.0,top
D7,92.208673,-70.566539,90.0,top
D8,116.021179,-70.566535,90.0,top
D9,136.515815,-72.784172,83.0,top
J1,215.32169,-91.728136,263.0,top
RST1,203.171729,-125.373486,187.0,bottom
SW1,84.826803,-42.884509,0.0,top
SW10,147.971385,-67.413196,353.0,top
SW11,166.531154,-72.571009,353.0,top
SW12,185.090917,-77.728818,353.0,top
SW13,74.82556,-85.747003,0.0,top
SW14,105.781812,-85.747003,0.0,top
SW15,126.393539,-86.835788,353.0,top
SW16,145.649782,-86.321196,353.0,top
SW17,164.209541,-91.479013,353.0,top
SW18,182.769308,-96.636822,353.0,top
SW19,72.920559,-104.797004,0.0,top
SW2,111.496811,-42.884503,0.0,top
SW20,77.683058,-104.797005,180.0,bottom
SW21,103.876808,-104.797003,0.0,top
SW22,124.071924,-105.743794,353.0,top
SW23,143.328169,-105.229205,353.0,top
SW24,161.887936,-110.387017,353.0,top
SW25,180.447694,-115.544829,353.0,top
SW26,75.30181,-123.847005,0.0,top
SW27,137.946575,-129.519408,353.0,top
SW28,135.583081,-129.229208,187.0,bottom
SW29,171.035585,-133.582227,353.0,top
SW3,131.617161,-44.292777,353.0,top
SW30,204.124587,-137.645044,353.0,top
SW31,206.488088,-137.93525,187.0,bottom
SW33,205.082027,-110.307959,263.0,top
SW34,212.593906,-49.428564,263.0,top
SW4,150.873407,-43.778187,353.0,top
SW5,169.433169,-48.936,353.0,top
SW6,187.992934,-54.093809,353.0,top
SW7,83.87431,-66.697008,0.0,top
SW8,107.686811,-66.697006,0.0,top
SW9,128.715147,-67.92778,353.0,top
U1,210.323358,-67.61535,263.0,top
