Designator,Mid X,Mid Y,Rotation,Layer
BT1,200.031309,-91.568904,7.0,bottom
D1,92.819228,-47.134437,90.0,top
D10,155.430115,-72.649981,83.0,top
D11,173.989877,-77.807795,83.0,top
D12,192.549638,-82.965608,83.0,top
D13,93.370128,-89.996937,90.0,top
D14,192.766376,-121.378345,83.0,top
D15,113.774233,-89.996934,90.0,top
D16,133.85226,-92.072576,83.0,top
D17,153.108509,-91.55799,83.0,top
D18,171.668265,-96.715798,83.0,top
D19,190.228033,-101.873609,83.0,top
D2,119.489235,-47.134431,90.0,top
D20,91.584193,-109.021079,90.0,top
D22,111.869231,-109.046932,90.0,top
D23,131.530648,-110.980583,83.0,top
D24,150.786898,-110.465988,83.0,top
D25,169.346657,-115.623804,83.0,top
D26,187.906416,-120.781617,83.0,top
D27,83.294237,-128.096928,90.0,top
D28,145.405299,-134.756196,83.0,top
D3,139.075886,-49.529571,83.0,top
D30,188.872297,-140.09327,83.0,top
D31,193.894741,-140.709945,83.0,top
D4,158.33213,-49.014971,83.0,top
D5,176.891893,-54.172791,83.0,top
D6,195.451654,-59.330596,83.0,top
D7,91.866728,-70.946938,90.0,top
D8,115.679233,-70.946933,90.0,top
D9,136.17387,-73.164572,83.0,top
J1,214.979745,-92.108534,263.0,top
RST1,202.829784,-125.753884,187.0,bottom
SW1,84.484858,-43.264907,0.0,top
SW10,147.62944,-67.793594,353.0,top
SW11,166.189209,-72.951408,353.0,top
SW12,184.748972,-78.109216,353.0,top
SW13,74.483615,-86.127402,0.0,top
SW14,74.483615,-86.127402,180.0,bottom
SW15,105.439867,-86.127401,0.0,top
SW16,126.051594,-87.216186,353.0,top
SW17,145.307836,-86.701594,353.0,top
SW18,163.867596,-91.859411,353.0,top
SW19,182.427363,-97.017221,353.0,top
SW2,111.154865,-43.264902,0.0,top
SW20,72.578614,-105.177402,0.0,top
SW21,77.341113,-105.177403,180.0,bottom
SW22,103.534862,-105.177401,0.0,top
SW23,123.729979,-106.124192,353.0,top
SW24,142.986225,-105.609603,353.0,top
SW25,161.545991,-110.767415,353.0,top
SW26,180.105749,-115.925228,353.0,top
SW27,74.959864,-124.227403,0.0,top
SW28,137.60463,-129.899806,353.0,top
SW29,135.241135,-129.609607,187.0,bottom
SW3,131.275216,-44.673175,353.0,top
SW30,170.693639,-133.962626,353.0,top
SW31,203.782642,-138.025443,353.0,top
SW32,206.146143,-138.315648,187.0,bottom
SW33,204.740083,-110.688357,263.0,top
SW34,212.251961,-49.808963,263.0,top
SW4,150.531462,-44.158586,353.0,top
SW5,169.091223,-49.316398,353.0,top
SW6,187.650989,-54.474207,353.0,top
SW7,83.532365,-67.077406,0.0,top
SW8,107.344866,-67.077404,0.0,top
SW9,128.373201,-68.308179,353.0,top
U1,209.981412,-67.995749,263.0,top
